vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,16,GCE A level or Higher Certificate,Male,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Living as married,C2,East Midlands,Conservative,I voted to Leave,Level-2
Very likely,37,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£70,000 to £99,999 per year","£40,000 to £44,999 per year",Married,B,Yorkshire and the Humber,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,23,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£45,000 to £49,999 per year","£25,000 to £29,999 per year",Married,C1,Yorkshire and the Humber,Green,I voted to Remain,Level-4
Very likely,61,17-18,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Married,C1,Wales,Other,I voted to Leave,Level-3
Very likely,70,15 or under,"Other technical, professional or higher qualification",Male,"£5,000 to £9,999 per year","£10,000 to £14,999 per year",Widowed,E,London,Liberal Democrat,I voted to Remain,Other
Very likely,56,16,No formal qualifications,Female,Prefer not to answer,Prefer not to answer,Never married,D,South East,Don't know,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,35,19,Prefer not to say,Male,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Living as married,D,London,Labour,I voted to Leave,Other
Very likely,45,16,No formal qualifications,Female,"£40,000 to £44,999 per year","£15,000 to £19,999 per year",Living as married,D,North West,Labour,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,32,17-18,Scottish Higher Certificate,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,C1,Scotland,Labour,I did not vote,Level-2
Very likely,32,20,University diploma,Male,Prefer not to answer,Prefer not to answer,Living as married,C2,Wales,NA,I did not vote,Level-3
Fairly likely,52,17-18,GCE A level or Higher Certificate,Female,Prefer not to answer,Prefer not to answer,Never married,D,North West,NA,I did not vote,Level-2
Fairly likely,53,16,City & Guilds certificate - advanced,Male,"£15,000 to £19,999 per year","£10,000 to £14,999 per year",Living as married,D,Yorkshire and the Humber,NA,I did not vote,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Never married,C1,East Midlands,Conservative,I voted to Leave,Level-3
Very likely,72,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Married,C2,South West,Don't know,I voted to Leave,Level-1
Fairly unlikely,35,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Living as married,C1,East of England,NA,I did not vote,Level-1
Very unlikely,48,19,City & Guilds certificate,Male,"£150,000 and over","£100,000 and over",Married,E,Scotland,Scottish National Party (SNP),I voted to Remain,Professional
Very likely,72,20,Teaching qualification (not degree),Female,Prefer not to answer,Prefer not to answer,Married,C2,South East,Liberal Democrat,I voted to Remain,Level-3
Very likely,59,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£45,000 to £49,999 per year","£30,000 to £34,999 per year",Married,A,North West,Labour,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,15 or under,No formal qualifications,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Married,C1,East Midlands,Conservative,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,36,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Never married,C1,Wales,Other,I voted to Leave,Level-3
Very unlikely,48,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,E,North West,Labour,I voted to Leave,Level-1
Very likely,60,16,GCE A level or Higher Certificate,Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,B,Yorkshire and the Humber,Labour,I voted to Remain,Level-2
Very unlikely,55,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Married,C1,South East,Labour,I voted to Remain,Level-1
Very likely,67,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£45,000 to £49,999 per year","£35,000 to £39,999 per year",Widowed,B,North West,Liberal Democrat,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,36,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"£20,000 to £24,999 per year",Living as married,C2,London,NA,I did not vote,Level-3
Fairly likely,47,16,City & Guilds certificate,Male,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Never married,D,West Midlands,Conservative,I voted to Leave,Professional
Very likely,67,20,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Married,A,South East,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£30,000 to £34,999 per year","£10,000 to £14,999 per year",Living as married,C2,Scotland,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,CSE grades 2-5,Male,"under £5,000 per year","under £5,000 per year",Never married,E,South West,NA,I did not vote,Level-1
Very likely,64,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Married,B,East of England,Conservative,I voted to Leave,Level-1
Very likely,62,16,University diploma,Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Divorced,E,East of England,Conservative,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,72,16,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Married,C1,South East,Conservative,I voted to Remain,Other
Don’t know,34,20,Don't know,Male,Don't know,"£40,000 to £44,999 per year",Living as married,B,Scotland,NA,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,17-18,GCE A level or Higher Certificate,Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Widowed,C1,South East,Conservative,I voted to Remain,Level-2
Fairly likely,56,16,City & Guilds certificate,Female,Prefer not to answer,Prefer not to answer,Divorced,E,South East,NA,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,26,Still at school/Full time student,GCE A level or Higher Certificate,Female,Prefer not to answer,Prefer not to answer,Never married,B,London,Liberal Democrat,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£45,000 to £49,999 per year","£20,000 to £24,999 per year",Married,C2,West Midlands,NA,I did not vote,Level-1
Very likely,69,15 or under,City & Guilds certificate,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,E,East of England,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,15 or under,Teaching qualification (not degree),Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,C2,North West,Other,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,17-18,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Married,B,East Midlands,Labour,I voted to Remain,Level-2
Very likely,60,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Married,C1,North East,Labour,I voted to Remain,Level-1
Very likely,20,17-18,Scottish Higher Certificate,Female,Don't know,Don't know,Never married,C1,Scotland,Scottish National Party (SNP),I did not vote,Level-2
Very likely,62,20,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,C1,East of England,NA,I voted to Leave,Level-2
Very likely,20,Still at school/Full time student,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","under £5,000 per year",Never married,C1,Yorkshire and the Humber,NA,I did not vote,Level-2
Very likely,68,19,"Other technical, professional or higher qualification",Male,"£70,000 to £99,999 per year","£30,000 to £34,999 per year",Married,A,South East,Liberal Democrat,I voted to Remain,Other
Fairly likely,36,19,"Other technical, professional or higher qualification",Female,"£70,000 to £99,999 per year","£40,000 to £44,999 per year",Married,B,South West,Labour,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Widowed,C1,North West,Liberal Democrat,I voted to Leave,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,17-18,GCE A level or Higher Certificate,Female,"£45,000 to £49,999 per year","£25,000 to £29,999 per year",Married,A,East of England,Conservative,I voted to Leave,Level-2
Very likely,65,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,B,West Midlands,Conservative,I voted to Leave,Level-3
Very likely,42,16,CSE grades 2-5,Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Civil Partnership,D,East of England,NA,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Married,E,West Midlands,NA,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,58,19,ONC,Male,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,E,North West,Conservative,I voted to Leave,NA
Not applicable – I have already received at least one dose of the Covid-19 vaccine,27,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,Don't know,"£30,000 to £34,999 per year",Married,C1,East Midlands,Labour,I voted to Remain,Level-4
Fairly likely,34,16,Prefer not to say,Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Living as married,C1,East of England,NA,I did not vote,Other
Very likely,51,16,GCE A level or Higher Certificate,Male,"£50,000 to £59,999 per year","£20,000 to £24,999 per year",Living as married,B,North West,Conservative,I voted to Remain,Level-2
Don’t know,43,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,D,North West,Brexit Party,I voted to Leave,Level-1
Very likely,36,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£60,000 to £69,999 per year",Living as married,C1,London,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,58,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£40,000 to £44,999 per year","£30,000 to £34,999 per year",Married,A,East Midlands,Conservative,I voted to Leave,Level-3
Very likely,49,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Civil Partnership,C2,West Midlands,NA,I voted to Leave,Level-3
Very likely,71,15 or under,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,C2,South East,Brexit Party,I voted to Leave,Level-2
Very likely,22,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Never married,D,Yorkshire and the Humber,Conservative,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,17-18,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Married,B,South West,Conservative,I voted to Remain,Other
Fairly likely,37,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£60,000 to £69,999 per year","£25,000 to £29,999 per year",Living as married,C1,West Midlands,Conservative,I voted to Leave,Level-3
Very likely,70,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,North West,Labour,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,15 or under,Recognised trade apprenticeship completed,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Living as married,E,West Midlands,Labour,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,GCE A level or Higher Certificate,Female,"£15,000 to £19,999 per year","£20,000 to £24,999 per year",Divorced,D,East of England,NA,I did not vote,Level-2
Very unlikely,44,20,GCE A level or Higher Certificate,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,E,London,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,77,20,University diploma,Female,"£15,000 to £19,999 per year","under £5,000 per year",Married,A,East of England,Labour,I voted to Remain,Level-3
Very likely,71,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£35,000 to £39,999 per year","£15,000 to £19,999 per year",Married,C2,London,Conservative,I voted to Leave,Level-1
Very likely,34,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Never married,C1,North West,Conservative,I voted to Leave,Level-3
Fairly likely,68,15 or under,GCE A level or Higher Certificate,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,A,Yorkshire and the Humber,NA,I voted to Leave,Level-2
Very likely,63,16,Teaching qualification (not degree),Male,"£30,000 to £34,999 per year","£20,000 to £24,999 per year",Living as married,C1,North West,Conservative,I voted to Leave,Level-3
Very likely,35,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£30,000 to £34,999 per year",Prefer not to answer,Never married,C1,South East,Liberal Democrat,I did not vote,Level-4
Very likely,34,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Married,C1,Scotland,NA,I did not vote,Level-4
Very likely,70,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£25,000 to £29,999 per year",Married,B,North East,Labour,I voted to Remain,Level-3
Very likely,68,16,GCE A level or Higher Certificate,Female,Prefer not to answer,Prefer not to answer,Married,C1,East of England,Don't know,I voted to Leave,Level-2
Very likely,34,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£35,000 to £39,999 per year","under £5,000 per year",Married,B,South East,Other,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,48,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,C1,East Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,B,North West,Labour,I voted to Remain,Level-3
Very unlikely,49,NA,GCE A level or Higher Certificate,Female,"under £5,000 per year",NA,Widowed,D,South East,NA,I did not vote,Level-2
Fairly unlikely,61,19,University diploma,Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,B,South West,Conservative,I voted to Leave,Level-3
Very likely,67,15 or under,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Separated (after being married),C1,South West,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,49,15 or under,City & Guilds certificate,Female,"under £5,000 per year","under £5,000 per year",Married,E,East of England,NA,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,15 or under,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Living as married,E,Wales,Brexit Party,I voted to Leave,Professional
Fairly likely,32,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Separated (after being married),C1,South East,Liberal Democrat,I voted to Remain,Level-1
Fairly unlikely,68,20,"Other technical, professional or higher qualification",Female,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Never married,C2,South West,Conservative,I voted to Leave,Other
Very likely,37,17-18,City & Guilds certificate,Male,Prefer not to answer,"£20,000 to £24,999 per year",Separated (after being married),D,East Midlands,Labour,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,64,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,E,East of England,Liberal Democrat,I voted to Remain,Level-3
Very likely,43,17-18,GCE A level or Higher Certificate,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Living as married,E,South East,NA,I voted to Leave,Level-2
Fairly likely,33,17-18,"Other technical, professional or higher qualification",Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Living as married,C2,North West,NA,I did not vote,Other
Very likely,66,15 or under,No formal qualifications,Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,C2,Wales,Labour,Can’t remember,Level-0
Very likely,79,15 or under,Prefer not to say,Male,"£5,000 to £9,999 per year",Prefer not to answer,Widowed,E,North West,Conservative,I voted to Leave,Other
Very likely,46,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£40,000 to £44,999 per year","£20,000 to £24,999 per year",Living as married,D,North West,Conservative,I voted to Remain,Level-1
Very likely,32,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","under £5,000 per year",Never married,D,North West,Labour,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,46,15 or under,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Married,B,North West,Labour,I voted to Leave,Level-3
Fairly likely,40,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£15,000 to £19,999 per year",Don't know,Divorced,D,West Midlands,Labour,I voted to Remain,Level-4
Very likely,66,17-18,"Other technical, professional or higher qualification",Female,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Never married,A,London,Conservative,I voted to Leave,Other
Don’t know,37,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Married,E,North West,NA,I did not vote,Level-1
Very likely,70,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,"£70,000 to £99,999 per year",Married,A,South West,Conservative,I voted to Remain,Level-3
Very likely,33,20,No formal qualifications,Female,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Living as married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-0
Very unlikely,51,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,E,Yorkshire and the Humber,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,15 or under,No formal qualifications,Female,Prefer not to answer,Prefer not to answer,Married,E,Wales,NA,I did not vote,Level-0
Very likely,27,Can't remember,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,Don't know,Never married,E,Scotland,Scottish National Party (SNP),Can’t remember,Level-3
Very likely,57,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Living as married,C1,East Midlands,Labour,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£30,000 to £34,999 per year","£10,000 to £14,999 per year",Married,C2,Wales,Liberal Democrat,I voted to Leave,Level-1
Very likely,58,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Divorced,B,East of England,Conservative,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Don't know,Don't know,Married,C1,Scotland,Conservative,I voted to Leave,Level-1
Very likely,60,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year",Prefer not to answer,Divorced,B,South West,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,44,17-18,City & Guilds certificate,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,D,Yorkshire and the Humber,Other,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,34,16,"Other technical, professional or higher qualification",Male,"£60,000 to £69,999 per year","£40,000 to £44,999 per year",Never married,C1,London,Conservative,I did not vote,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Never married,D,Scotland,Liberal Democrat,I voted to Remain,Level-3
Very likely,40,20,University diploma,Female,Prefer not to answer,Prefer not to answer,Married,C2,West Midlands,NA,I did not vote,Level-3
Very likely,28,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£100,000 to £149,999 per year","£50,000 to £59,999 per year",Living as married,A,Scotland,Labour,I voted to Remain,Level-4
Very likely,61,16,No formal qualifications,Male,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Married,B,West Midlands,Conservative,I voted to Remain,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,50,17-18,Prefer not to say,Female,Prefer not to answer,Prefer not to answer,Married,E,East Midlands,Conservative,I voted to Leave,Other
Very likely,51,15 or under,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£5,000 to £9,999 per year","under £5,000 per year",Living as married,D,South East,Labour,I did not vote,Level-3
Very likely,25,17-18,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£100,000 to £149,999 per year","£40,000 to £44,999 per year",Never married,B,North West,Labour,I voted to Remain,Level-4
Very likely,70,16,City & Guilds certificate,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Married,C1,East Midlands,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,37,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,C1,London,NA,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,44,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£5,000 to £9,999 per year","under £5,000 per year",Married,E,North West,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,43,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£10,000 to £14,999 per year","£15,000 to £19,999 per year",Living as married,D,East Midlands,Liberal Democrat,I voted to Remain,Level-3
Very likely,68,17-18,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Married,C1,East Midlands,Conservative,I voted to Remain,Level-2
Very likely,48,20,"Other technical, professional or higher qualification",Female,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Married,C2,London,Labour,I did not vote,Other
Very likely,41,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Married,B,East Midlands,Labour,I voted to Remain,Level-4
Very likely,43,16,GCE A level or Higher Certificate,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,D,North East,NA,I voted to Leave,Level-2
Fairly unlikely,24,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,A,East Midlands,Labour,I voted to Remain,Level-1
Very likely,70,19,"Other technical, professional or higher qualification",Male,Prefer not to answer,Prefer not to answer,Married,E,West Midlands,Conservative,I voted to Leave,Other
Very likely,40,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£45,000 to £49,999 per year","£25,000 to £29,999 per year",Married,C1,East of England,NA,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,81,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Widowed,C1,South East,Labour,I voted to Remain,Level-1
Very likely,63,16,City & Guilds certificate,Male,"under £5,000 per year","under £5,000 per year",Never married,E,West Midlands,Conservative,I voted to Leave,Professional
Very likely,34,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Never married,B,South West,Liberal Democrat,I voted to Remain,Level-3
Very likely,24,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Don't know,"£5,000 to £9,999 per year",Never married,D,Yorkshire and the Humber,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Married,C1,South West,Liberal Democrat,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,16,No formal qualifications,Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,D,Yorkshire and the Humber,Brexit Party,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,87,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Never married,E,South West,Liberal Democrat,I voted to Remain,Level-1
Very likely,56,17-18,Prefer not to say,Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Living as married,B,North West,Conservative,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,17-18,City & Guilds certificate,Male,"£15,000 to £19,999 per year","£10,000 to £14,999 per year",Never married,E,South East,NA,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,16,Don't know,Female,Don't know,Don't know,Divorced,E,London,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Married,A,East of England,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,26,Can't remember,Don't know,Male,Prefer not to answer,Prefer not to answer,Never married,C1,Scotland,NA,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,20,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,C2,North West,Conservative,I voted to Leave,Level-2
Fairly likely,44,NA,GCE A level or Higher Certificate,Male,"£35,000 to £39,999 per year",NA,Married,B,North West,Labour,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,20,"Other technical, professional or higher qualification",Female,"£70,000 to £99,999 per year","£10,000 to £14,999 per year",Married,D,East of England,Liberal Democrat,I voted to Remain,Other
Fairly likely,58,15 or under,"Other technical, professional or higher qualification",Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Married,E,London,Labour,I voted to Leave,Other
Very likely,29,19,GCE A level or Higher Certificate,Female,"£20,000 to £24,999 per year","under £5,000 per year",Never married,C1,North West,Labour,I voted to Remain,Level-2
Don’t know,29,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,"£20,000 to £24,999 per year",Married,C1,Yorkshire and the Humber,NA,Can’t remember,Level-3
Very unlikely,35,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£35,000 to £39,999 per year","£15,000 to £19,999 per year",Never married,C1,West Midlands,NA,I did not vote,Level-1
