title,year,binary,budget_2013,domgross_2013,gross_millions,log_gross
Lady in the Water,2006,FAIL,86684726,48873044,48.873044,3.8892259970443317
Last Holiday,2006,PASS,52010836,44382535,44.382535,3.7928460361976146
Letters from Iwo Jima,2006,FAIL,15025353,15899229,15.899229,2.7662706174844427
Little Children,2006,PASS,16181149,6314137,6.314137,1.8427910877147864
Little Miss Sunshine,2006,PASS,9246371,69221912,69.221912,4.237317459900261
Lucky Number Slevin,2006,FAIL,31206501,26000177,26.000177,3.2581033456906177
Man of the Year,2006,FAIL,23115927,43275535,43.275535,3.767587463781926
Marie Antoinette,2006,PASS,46231854,18449366,18.449366,2.9150300067524784
Miss Potter,2006,PASS,34673890,3473867,3.473867,1.245268382687659
Monster House,2006,PASS,86684726,85137126,85.137126,4.444263203663939
Nacho Libre,2006,FAIL,36985483,92692547,92.692547,4.529288070202624
Night at the Museum,2006,PASS,127137598,289946849,289.946849,5.66969762687247
Notes on a Scandal,2006,PASS,31784400,20238130,20.23813,3.0075684488465777
Once,2006,FAIL,173369,10917487,10.917487,2.3903658156280723
Open Season,2006,FAIL,98242689,98364347,98.364347,4.588678411166063
Paris je t'aime,2006,FAIL,15025353,5614135,5.614135,1.7252875246758597
Perfume: The Story of a Murderer,2006,PASS,73624227,2569674,2.569674,0.9437790426121816
Pirates of the Caribbean: Dead Man's Chest,2006,FAIL,260054178,489266869,489.266869,6.192908084986847
Poseidon,2006,FAIL,184927415,70127732,70.127732,4.250318322085761
Quinceanera,2006,PASS,462319,1956408,1.956408,0.671110138818029
Rang De Basanti,2006,PASS,6125721,2540087,2.540087,0.9321983324123639
Running with Scissors,2006,PASS,13869556,7928763,7.928763,2.0704970335673374
She's the Man,2006,FAIL,28894909,39168966,39.168966,3.6678847495759306
Sherrybaby,2006,FAIL,2311593,230207,0.230207,-1.4687763748161056
Shortbus,2006,PASS,2311593,2294593,2.294593,0.8305554857376177
Silent Hill,2006,PASS,57789817,54302354,54.302354,3.9945675777497693
Slither,2006,PASS,17625894,9018043,9.018043,2.1992273482288196
Smokin' Aces,2006,FAIL,19648538,41218854,41.218854,3.7188957730379832
Snakes on a Plane,2006,PASS,38141279,39321133,39.321133,3.6717621097163184
Southland Tales,2006,PASS,19648538,318283,0.318283,-1.144814354854286
Stick It,2006,PASS,23115927,31103330,31.10333,3.437314887408166
Stranger Than Fiction,2006,PASS,34673890,46734845,46.734845,3.8444900320568847
Superman Returns,2006,FAIL,268144752,231297965,231.297965,5.443706771100981
Take the Lead,2006,PASS,34673890,40154753,40.154753,3.6927408144572684
The Ant Bully,2006,FAIL,52010836,32527039,32.527039,3.4820717126718965
The Break Up,2006,FAIL,60101410,137316349,137.316349,4.922287380703266
The Da Vinci Code,2006,FAIL,144474543,251427474,251.427474,5.527154574194631
The Dead Girl,2006,PASS,3814128,22971,0.022971,-3.7735227281830412
The Departed,2006,FAIL,104021671,154080367,154.080367,5.037474329926522
The Devil Wears Prada,2006,PASS,40452872,144174568,144.174568,4.971024843138395
The Fountain,2006,FAIL,40452872,11724410,11.72441,2.4616729932368338
The Grudge 2,2006,PASS,23115927,45242306,45.242306,3.812032622539489
The History Boys,2006,FAIL,4276446,3155666,3.155666,1.1491995672184554
The Holiday,2006,PASS,98242689,73138793,73.138793,4.292358909987308
The Host,2006,PASS,57789817,30771576,30.771576,3.426591406741849
The Illusionist,2006,FAIL,19070640,46080031,46.080031,3.830379689130465
The Lake House,2006,FAIL,46231854,60482951,60.482951,4.102361523670356
The Painted Veil,2006,FAIL,22422449,9316281,9.316281,2.23176351472735
The Prestige,2006,FAIL,46231854,61361102,61.361102,4.116776116480519
The Pursuit of Happyness,2006,FAIL,63568799,187916346,187.916346,5.235996895717167
The Queen,2006,FAIL,17336945,65235123,65.235123,4.177998020206851
The Wind That Shakes the Barley,2006,FAIL,9593110,2114116,2.114116,0.7486367582226553
Ultraviolet,2006,FAIL,34673890,21407734,21.407734,3.0637522586070394
Volver,2006,PASS,10864486,14909619,14.909619,2.702006575130236
We Are Marshall,2006,FAIL,75126763,50329573,50.329573,3.918592836746716
When a Stranger Calls,2006,PASS,17336945,55316660,55.31666,4.013074128979638
Wristcutters: A Love Story,2006,FAIL,1155796,515676,0.515676,-0.6622766176934641
X-Men: The Last Stand,2006,PASS,242717233,270875277,270.875277,5.601658482467906
"You, Me and Dupree",2006,FAIL,62413003,87611686,87.611686,4.472914390871598
Zoom,2006,PASS,40452872,13857222,13.857222,2.6288065407719663
Zwartboek,2006,PASS,25427520,5083807,5.083807,1.6260603903721627
AEon Flux,2005,PASS,65616822,30849435,30.849435,3.4291184357590505
Assault on Precinct 13,2005,PASS,35790994,23909452,23.909452,3.174273861926947
Batman Begins,2005,FAIL,178954969,244981925,244.981925,5.501184432312976
Beauty Shop,2005,PASS,29825828,43368365,43.368365,3.769730258266468
Bewitched,2005,PASS,95442650,75534696,75.534696,4.324592100363243
BloodRayne,2005,FAIL,29825828,2869746,2.869746,1.0542235241128592
Boogeyman,2005,FAIL,23860663,55777141,55.777141,4.021364125955682
Boynton Beach Club,2005,PASS,3459796,3731178,3.731178,1.3167240014901835
Brick,2005,FAIL,536865,2476430,2.47643,0.906818006949116
Brokeback Mountain,2005,FAIL,16583160,99073958,99.073958,4.595866621736307
Capote,2005,FAIL,8351232,34300335,34.300335,3.535155120888048
Charlie and the Chocolate Factory,2005,PASS,178954969,246312517,246.312517,5.506601123973236
Chinjeolhan geumjassi,2005,PASS,5368649,252526,0.252526,-1.3762410652707702
Cinderella Man,2005,FAIL,104986915,73550386,73.550386,4.2979706951641985
Coach Carter,2005,PASS,53686491,80249227,80.249227,4.3851371295649795
Constantine,2005,FAIL,89477485,90642097,90.642097,4.506918751933154
Conversations with Other Women,2005,FAIL,536865,452658,0.452658,-0.7926184055175395
Corpse Bride,2005,FAIL,35790994,63659187,63.659187,4.153543650801615
Cursed,2005,PASS,41756160,23019456,23.019456,3.136339771389831
Danny the dog,2005,FAIL,51300425,29274195,29.274195,3.3767064112406353
Dark Water,2005,PASS,71581988,30390244,30.390244,3.4141216358533635
Dear Wendy,2005,FAIL,9544265,27566,0.027566,-3.59117214970989
Domino,2005,PASS,59651656,12132195,12.132195,2.495862662892019
Doom,2005,FAIL,83512319,33658253,33.658253,3.5162582860491303
Fantastic Four,2005,FAIL,104390399,184557548,184.557548,5.217961328124881
Flightplan,2005,PASS,65616822,107023409,107.023409,4.673047586234927
Fun with Dick and Jane,2005,PASS,167024638,131889812,131.889812,4.881966816406495
"Good Night, and Good Luck.",2005,FAIL,8351232,37581997,37.581997,3.6265251325415093
Hard Candy,2005,PASS,1133381,1222429,1.222429,0.2008398629707031
Harry Potter and the Goblet of Fire,2005,FAIL,178954969,345995160,345.99516,5.846424786520579
Herbie Fully Loaded,2005,PASS,59651656,78752930,78.75293,4.3663154833628095
Hide and Seek,2005,PASS,29825828,60964573,60.964573,4.110292924969
Hitch,2005,FAIL,65616822,212102508,212.102508,5.3570696861117595
Hoodwinked!,2005,PASS,20878080,61305929,61.305929,4.115876559309033
Hostel,2005,FAIL,5726559,56462050,56.46205,4.033568731057442
Hustle & Flow,2005,FAIL,3340493,26488687,26.488687,3.276717736181635
Ice Princess,2005,PASS,29825828,29087739,29.087739,3.3703167451825355
Jarhead,2005,FAIL,85898385,74740591,74.740591,4.314023331438437
Junebug,2005,PASS,1193033,3194955,3.194955,1.1615730032232683
Just Like Heaven,2005,PASS,69195921,57645130,57.64513,4.054305767864957
King Kong,2005,FAIL,246957858,260176695,260.176695,5.561360996348478
Kingdom of Heaven,2005,FAIL,131233644,56547877,56.547877,4.03508765985918
Kiss Kiss Bang Bang,2005,FAIL,17895497,5053494,5.053494,1.6200798852359417
Lord of War,2005,FAIL,50107391,28811311,28.811311,3.3607680530940893
Madagascar,2005,FAIL,89477485,230965870,230.96587,5.442269950688098
Man of the House,2005,PASS,59651656,23502402,23.502402,3.157102628692702
Match Point,2005,PASS,17895497,27547047,27.547047,3.315895342921144
Me and You and Everyone We Know,2005,PASS,2386066,4635094,4.635094,1.5336564792868217
Memoirs of a Geisha,2005,PASS,101407816,68015836,68.015836,4.219740560416162
MirrorMask,2005,PASS,4772133,1031925,1.031925,0.03142598999985281
Miss Congeniality 2: Armed & Fabulous,2005,PASS,71581988,57835867,57.835867,4.057609119557454
Mr. & Mrs. Smith,2005,FAIL,131233644,222305354,222.305354,5.4040519052505225
Munich,2005,FAIL,89477485,56524824,56.524824,4.034679904492667
North Country,2005,PASS,35790994,21861428,21.861428,3.0847238054089656
Oliver Twist,2005,FAIL,77547153,2470676,2.470676,0.9044917974057205
Pride and Prejudice,2005,PASS,33404928,45779857,45.779857,3.823844190884767
Proof,2005,PASS,23860663,8989900,8.9899,2.19610172495114
Red Eye,2005,PASS,31018861,69066839,69.066839,4.23507471688785
Rent,2005,PASS,47721325,34690477,34.690477,3.5464652112474573
Robots,2005,FAIL,95442650,152946861,152.946861,5.030090547339564
Saw II,2005,FAIL,5965166,103823819,103.823819,4.642695414542419
Serenity,2005,PASS,46528292,30439664,30.439664,3.4157464948248117
Shopgirl,2005,FAIL,8947748,12269777,12.269777,2.5071390841485357
Sin City,2005,PASS,47721325,88408312,88.408312,4.481965992372643
Sisters in Law,2005,PASS,357910,39742,0.039742,-3.2253467159985125
Sky High,2005,PASS,71581988,76281887,76.281887,4.3344355182343195
Son of the Mask,2005,FAIL,119303313,20303541,20.303541,3.010795304333525
Star Wars: Episode III - Revenge of the Sith,2005,FAIL,137198810,453675396,453.675396,6.117381955532256
Stealth,2005,FAIL,164638572,38316342,38.316342,3.6458764892559437
Strangers with Candy,2005,PASS,2386066,2472734,2.472734,0.9053244210881156
Thank You for Smoking,2005,FAIL,8947748,29579478,29.579478,3.387080810068119
The 40 Year Old Virgin,2005,FAIL,31018861,130576566,130.576566,4.871959767357855
The Adventures of Sharkboy and Lavagirl 3-D,2005,FAIL,59651656,46740275,46.740275,3.8446062127048712
The Amityville Horror,2005,PASS,22071113,77825570,77.82557,4.354470040425489
The Ballad of Jack and Rose,2005,PASS,1789550,849790,0.84979,-0.16276601884536301
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PASS,214745963,348020836,348.020836,5.852262351545343
The Constant Gardener,2005,PASS,30422345,40061811,40.061811,3.690423536405074
The Descent,2005,PASS,8351232,31048038,31.048038,3.4355356179772194
The Devil's Rejects,2005,PASS,8351232,20335227,20.335227,3.0123547023163066
The Exorcism of Emily Rose,2005,PASS,21474596,89563925,89.563925,4.494952616138718
The Fog,2005,PASS,21474596,35207734,35.207734,3.561265774379137
The Hitchhiker's Guide to the Galaxy,2005,FAIL,53686491,60867491,60.867491,4.108699222665014
The Island,2005,PASS,143163975,42733150,42.73315,3.7549749656376505
The Jacket,2005,FAIL,34001444,7517458,7.517458,2.0172280489011887
The Legend of Zorro,2005,FAIL,95442650,54372886,54.372886,3.9958656104921535
The New World,2005,FAIL,35790994,15165948,15.165948,2.719052651550724
The Ring Two,2005,PASS,59651656,90600996,90.600996,4.5064652063659905
The Skeleton Key,2005,PASS,47721325,57155491,57.155491,4.045775466115324
The Squid and the Whale,2005,FAIL,1789550,8795916,8.795916,2.1742875228515537
The Wedding Date,2005,PASS,17895497,37851356,37.851356,3.6336668048692125
Transamerica,2005,PASS,1193033,10755555,10.755555,2.375422365293418
Tristram Shandy: A Cock and Bull Story,2005,FAIL,5666907,1495363,1.495363,0.40236898673377536
V for Vendetta,2005,PASS,59651656,84122001,84.122001,4.432268137998087
Waiting...,2005,PASS,1342162,19237114,19.237114,2.956841433986435
Walk the Line,2005,PASS,34597961,142590606,142.590606,4.959977629232398
War of the Worlds,2005,FAIL,157480373,279504224,279.504224,5.63301740518221
Water,2005,PASS,3579099,6596452,6.596452,1.8865319287291513
White Noise,2005,FAIL,11930331,66922430,66.92243,4.2035341874737036
"Yours, Mine and Ours",2005,PASS,53686491,63660149,63.660149,4.153558762410428
Zathura: A Space Adventure,2005,FAIL,77547153,33459258,33.459258,3.510328519580575
13 Going on 30,2004,PASS,36995786,70464299,70.464299,4.255106184392756
2046,2004,PASS,14798315,1778681,1.778681,0.5758720783835082
50 First Dates,2004,FAIL,92489466,148941129,148.941129,5.003551120487421
A Cinderella Story,2004,PASS,23430665,63433191,63.433191,4.149987241805938
A Home at the End of The World,2004,FAIL,8015754,1268976,1.268976,0.23821027602385572
A Very Long Engagement,2004,PASS,67825608,7606108,7.606108,2.028951608721588
Anchorman: The Legend of Ron Burgundy,2004,FAIL,30829822,103757037,103.757037,4.642051983316718
Around the World in 80 Days,2004,FAIL,135651216,29601758,29.601758,3.387833751458278
AVP: Alien vs. Predator,2004,FAIL,86323501,99002076,99.002076,4.595140819611698
Banlieue 13,2004,FAIL,18497893,1480098,1.480098,0.39210830180004297
Before Sunset,2004,FAIL,2466386,7143667,7.143667,1.9662262299458062
Bridget Jones: The Edge of Reason,2004,PASS,61659644,49578078,49.578078,3.903548760224335
Catwoman,2004,PASS,123319288,49577287,49.577287,3.903532805464852
Cellular,2004,PASS,55493679,39466636,39.466636,3.6754556567544667
Closer,2004,PASS,43161751,41913460,41.91346,3.7356070163913526
Collateral,2004,FAIL,73991573,123529118,123.529118,4.816476901557232
Connie and Carla,2004,PASS,24663858,9924151,9.924151,2.294971281352653
Crash,2004,PASS,9006109,68238010,68.23801,4.223001740976264
D.E.B.S.,2004,PASS,4316175,119364,0.119364,-2.1255776310238597
Dawn of the Dead,2004,PASS,34529401,72746991,72.746991,4.286987544371477
Dodgeball: A True Underdog Story,2004,PASS,36995786,140986916,140.986916,4.948667091746267
Ella Enchanted,2004,PASS,43161751,28256983,28.256983,3.3413406128877714
Eternal Sunshine of the Spotless Mind,2004,FAIL,24663858,42380545,42.380545,3.746689412597013
Eulogy,2004,PASS,12331929,86973,0.086973,-2.4421575533220614
Finding Neverland,2004,PASS,30829822,63727222,63.727222,4.1546118182301965
Flight of the Phoenix,2004,FAIL,92489466,25908371,25.908371,3.2545661211193306
Garden State,2004,PASS,3082982,33027761,33.027761,3.4973484502446355
Harold and Kumar Go to White Castle,2004,PASS,11098736,22475144,22.475144,3.1124099874561795
Harry Potter and the Prisoner of  Azkaban,2004,PASS,160315074,307729658,307.729658,5.729221663773503
Hellboy,2004,FAIL,73991573,73527840,73.52784,4.29766411001166
Home on the Range,2004,PASS,135651216,61692142,61.692142,4.1221565646158345
I Heart Huckabees,2004,PASS,27130243,15766017,15.766017,2.7578568009068296
"I, Robot",2004,FAIL,129485252,178567590,178.56759,5.184967185009991
In Good Company,2004,FAIL,32063015,56097638,56.097638,4.027093708255469
Kinsey,2004,PASS,13565122,12596630,12.59663,2.5334293178660823
Kung Fu Hustle,2004,FAIL,24663858,21093356,21.093356,3.0489581093798392
Layer Cake,2004,FAIL,8015754,2885618,2.885618,1.0597390884585436
Lemony Snicket's A Series of Unfortunate Events,2004,PASS,123319288,146290116,146.290116,4.985591745935199
Maria Full of Grace,2004,PASS,3946217,8052286,8.052286,2.085956026272439
Mean Girls,2004,PASS,22197472,106112827,106.112827,4.664502933694395
Million Dollar Baby,2004,PASS,36995786,123926269,123.926269,4.819686783918764
Miracle,2004,FAIL,34529401,79390606,79.390606,4.374380048911063
My Summer of Love,2004,PASS,2096428,1234321,1.234321,0.21052102131498587
Napoleon Dynamite,2004,FAIL,493277,54927590,54.92759,4.006015772370554
New York Minute,2004,FAIL,49327715,17287347,17.287347,2.8499748466263326
Primer,2004,FAIL,8632,523811,0.523811,-0.6466243467472053
Raising Helen,2004,PASS,61659644,46226886,46.226886,3.83356157687354
Ray,2004,FAIL,49327715,92866817,92.866817,4.5311663914846125
Resident Evil: Apocalypse,2004,PASS,61659644,62572303,62.572303,4.13632273610933
Saved!,2004,PASS,6165964,10958349,10.958349,2.3941016314865915
Saw,2004,FAIL,1479831,68053804,68.053804,4.220298627608599
Secret Window,2004,FAIL,49327715,59141502,59.141502,4.079932911464015
Shark Tale,2004,FAIL,92489466,199052129,199.052129,5.293566745194201
Shaun of the Dead,2004,PASS,6165964,16700976,16.700976,2.81546716082875
Shrek 2,2004,PASS,86323501,544117065,544.117065,6.299164416719953
Sideways,2004,PASS,20964279,88176131,88.176131,4.47933630280481
Sky Captain and the World of Tomorrow,2004,PASS,86323501,46565462,46.565462,3.840859107539349
Spanglish,2004,PASS,92489466,51848757,51.848757,3.9483309613891437
Spider-Man 2,2004,FAIL,246638575,460627734,460.627734,6.132590198339827
Team America: World Police,2004,FAIL,24663858,40417692,40.417692,3.6992676098998585
The Aviator,2004,FAIL,135651216,126536475,126.536475,4.840530606526557
The Bourne Supremacy,2004,FAIL,104821395,217149789,217.149789,5.380587387301795
The Butterfly Effect,2004,FAIL,16031507,71432302,71.432302,4.268750176003044
The Chronicles of Riddick,2004,FAIL,147983145,71170953,71.170953,4.265084771695042
The Day After Tomorrow,2004,PASS,154149110,230287423,230.287423,5.439328193958919
The Grudge,2004,PASS,12331929,136094379,136.094379,4.913348608290203
The Incredibles,2004,PASS,113453745,322407292,322.407292,5.7758156282426985
The Life Aquatic with Steve Zissou,2004,FAIL,61659644,29604924,29.604924,3.3879406988465144
The Notebook,2004,FAIL,36995786,99890827,99.890827,4.604077859616805
The Phantom of the Opera,2004,FAIL,67825608,63171287,63.171287,4.145849878298131
The Polar Express,2004,FAIL,209642789,240410531,240.410531,5.482348007857997
The Princess Diaries 2: Royal Engagement,2004,PASS,55493679,117337605,117.337605,4.765055292517296
The Stepford Wives,2004,PASS,123319288,73344915,73.344915,4.295173177032517
The Terminal,2004,FAIL,92489466,95047057,95.047057,4.554372105803849
The Village,2004,PASS,88398934,140827568,140.827568,4.947536220013059
The Whole Ten Yards,2004,FAIL,36995786,20130602,20.130602,3.0022411448180484
Troy,2004,FAIL,184978932,164382856,164.382856,5.102198194945866
Van Helsing,2004,PASS,209642789,148168797,148.168797,4.998352144135244
Vera Drake,2004,PASS,13565122,4629167,4.629167,1.5323769383048367
White Chicks,2004,PASS,24663858,85274051,85.274051,4.445870199541524
Wimbledon,2004,PASS,43161751,20794820,20.79482,3.0347039172305066
2 Fast 2 Furious,2003,FAIL,96222609,160945047,160.945047,5.081062983739149
21 grams,2003,FAIL,25321739,20572268,20.572268,3.023943955243719
Big Fish,2003,FAIL,88626087,84109786,84.109786,4.432122921683867
Bon voyage,2003,PASS,25321739,2980024,2.980024,1.0919313541761573
Bruce Almighty,2003,PASS,102553043,307285628,307.285628,5.727777699412749
Charlie's Angels: Full Throttle,2003,PASS,151930435,127639706,127.639706,4.849211498054209
Cold Mountain,2003,PASS,101286957,121079205,121.079205,4.796444918225124
Cradle 2 the Grave,2003,FAIL,31652174,43879701,43.879701,3.7814518213455277
Daddy Day Care,2003,PASS,75965217,131861413,131.861413,4.881751469538553
Daredevil,2003,FAIL,101286957,129829011,129.829011,4.8662182846892925
Darkness Falls,2003,FAIL,8862609,41198066,41.198066,3.7183913135061095
Dreamcatcher,2003,FAIL,86093913,42648478,42.648478,3.752991587486163
Final Destination 2,2003,PASS,32918261,59375255,59.375255,4.083877557082425
Finding Nemo,2003,FAIL,119012174,481783272,481.783272,6.1774943697772775
Freaky Friday,2003,PASS,32918261,139551191,139.551191,4.938431494521333
Girl with a Pearl Earring,2003,PASS,15193043,14730114,14.730114,2.6898939697521262
Goodbye Lenin!,2003,PASS,8102957,5145199,5.145199,1.6380640468665
Holes,2003,FAIL,25321739,85313907,85.313907,4.4463374775509745
Hollywood Homicide,2003,FAIL,94956522,38245683,38.245683,3.644030691157968
House of Sand and Fog,2003,PASS,20890435,16466075,16.466075,2.801302203706138
How to Lose a Guy in 10 Days,2003,FAIL,63304348,133961521,133.961521,4.897552601997109
Hulk,2003,FAIL,173453913,167347872,167.347872,5.120074711711535
Identity,2003,FAIL,35450435,66002713,66.002713,4.1896958472422
In the Cut,2003,PASS,15193043,5972708,5.972708,1.7872004258985559
Jeepers Creepers II,2003,PASS,31652174,45102830,45.10283,3.808944993985645
Kill Bill: Vol. 1,2003,PASS,69634783,88750338,88.750338,4.485827236798977
Lara Croft Tomb Raider: The Cradle of Life,2003,FAIL,113947826,83123367,83.123367,4.420325853670269
"Legally Blonde 2: Red, White & Blonde",2003,PASS,31652174,114756967,114.756967,4.742816561694548
Les triplettes de Belleville,2003,PASS,2532174,9244066,9.244066,2.2239818321529814
Lost In Translation,2003,FAIL,5064348,56449060,56.44906,4.033338638552687
Love Actually,2003,PASS,56973913,75297075,75.297075,4.321441289429862
Master and Commander: The Far Side of the World,2003,FAIL,170921739,118918972,118.918972,4.778442353625665
Mona Lisa Smile,2003,PASS,82295652,80780273,80.780273,4.391732789678949
Monster,2003,PASS,6330435,43641017,43.641017,3.775997465001303
Mystic River,2003,PASS,37982609,114118990,114.11899,4.737241675973152
Peter Pan,2003,PASS,126608696,61301208,61.301208,4.115799549110151
Pirates of the Caribbean: The Curse of the Black Pearl,2003,FAIL,158260870,386677167,386.677167,5.957590151098065
Pride and Prejudice,2003,PASS,35450435,48583127,48.583127,3.8832762895551887
S.W.A.T.,2003,PASS,88626087,147977201,147.977201,4.997058214600314
Scary Movie 3,2003,PASS,56973913,139269669,139.269669,4.936412118383782
Secondhand Lions,2003,FAIL,37982609,53265467,53.265467,3.975288222508065
Shanghai Knights,2003,FAIL,63304348,76560557,76.560557,4.3380820224578365
Shattered Glass,2003,FAIL,7596522,2795488,2.795488,1.0280066888622215
Sinbad: Legend of the Seven Seas,2003,FAIL,75965217,33530353,33.530353,3.512451088308195
Something's Gotta Give,2003,FAIL,101286957,157862359,157.862359,5.061723507789531
Spy Kids 3-D: Game Over,2003,PASS,50643478,141498677,141.498677,4.952290367216261
Swimming Pool,2003,PASS,9875478,12825598,12.825598,2.5514430176501084
Terminator 3: Rise of the Machines,2003,PASS,215234783,190366677,190.366677,5.248952091283917
The Core,2003,PASS,107617391,39389560,39.38956,3.673500806572622
The Italian Job,2003,FAIL,75965217,134364760,134.36476,4.900558191327042
The Jungle Book 2,2003,FAIL,25321739,60647568,60.647568,4.105079535657799
The Last Samurai,2003,FAIL,177252174,140675650,140.67565,4.946456885888018
The League of Extraordinary Gentlemen,2003,FAIL,98754783,84150728,84.150728,4.432609571817457
The Lord of the Rings: The Return of the King,2003,FAIL,119012174,478385772,478.385772,6.17041746139148
The Matrix Reloaded,2003,PASS,160793043,356471453,356.471453,5.876254160911793
The Matrix Revolutions,2003,PASS,139269565,176314964,176.314964,5.172271963850667
The Missing,2003,PASS,82295652,34058165,34.058165,3.5280697982694056
The School of Rock,2003,FAIL,25321739,102883716,102.883716,4.633599379588174
Thirteen,2003,PASS,2532174,5825321,5.825321,1.7622141052295504
Timeline,2003,FAIL,101286957,24664310,24.66431,3.2053572594312314
Undead,2003,PASS,949565,52158,0.052158,-2.953477705657155
Underworld,2003,FAIL,27853913,65799413,65.799413,4.186610917318835
Wrong Turn,2003,PASS,12660870,19520239,19.520239,2.97145182476245
X2 (X-Men 2),2003,PASS,158260870,272145004,272.145004,5.606335027188283
25th Hour,2002,FAIL,5828306,16946895,16.946895,2.830084631205176
28 Days Later...,2002,PASS,10361434,58367141,58.367141,4.066753077375369
8 femmes,2002,PASS,10361434,3984522,3.984522,1.38241735523583
8 Mile,2002,FAIL,53102348,151178596,151.178596,5.0184618928781894
About Schmidt,2002,FAIL,38855376,84193406,84.193406,4.433116604642423
Adaptation,2002,FAIL,23960815,29139615,29.139615,3.3720985886001626
All or Nothing,2002,PASS,11656613,238643,0.238643,-1.4327865676176517
Antwone Fisher,2002,FAIL,16189740,27299975,27.299975,3.306885786439579
Austin Powers in Goldmember,2002,FAIL,81596291,276025731,276.025731,5.620494089632535
Bend It Like Beckham,2002,PASS,7253004,42149599,42.149599,3.741225170760854
Blade II,2002,FAIL,69939678,105786208,105.786208,4.661420151758462
Blue Crush,2002,PASS,38855376,51960544,51.960544,3.950484661339587
Cabin Fever,2002,PASS,1942769,27403645,27.403645,3.3106760337435057
Carrie,2002,PASS,38855376,45676592,45.676592,3.8215859566101265
Catch Me If You Can,2002,FAIL,67349319,213195306,213.195306,5.362208675163761
Chicago,2002,PASS,38855376,221070926,221.070926,5.39848358215675
Crossroads,2002,PASS,15542151,48165989,48.165989,3.8746531495812526
Death to Smoochy,2002,FAIL,64758961,10822278,10.822278,2.381606787303095
Die Another Day,2002,FAIL,183915449,208448913,208.448913,5.33969398963343
Drumline,2002,FAIL,25903584,73045727,73.045727,4.29108564230379
Equilibrium,2002,FAIL,25903584,1541287,1.541287,0.432617781696506
Far from Heaven,2002,PASS,17484919,20595744,20.595744,3.0250844525086666
Frida,2002,FAIL,15542151,33525714,33.525714,3.512312726480103
Funny Ha Ha,2002,PASS,38855,99819,0.099819,-2.3043967330233133
Gangs of New York,2002,FAIL,125632384,100674928,100.674928,4.611896791564677
Gerry,2002,FAIL,9066255,329860,0.32986,-1.1090869569621309
Harry Potter and the Chamber of Secrets,2002,PASS,129517922,339321257,339.321257,5.826947319400431
High Crimes,2002,PASS,54397527,53805898,53.805898,3.985383089411789
I Spy,2002,FAIL,90662545,43467687,43.467687,3.772017834475315
Ice Age,2002,FAIL,84186649,228453301,228.453301,5.431331817456211
Igby Goes Down,2002,FAIL,11656613,6187673,6.187673,1.822559087099906
Insomnia,2002,FAIL,59578244,87117875,87.117875,4.467262086683514
Lilo and Stitch,2002,PASS,103614337,188800252,188.800252,5.240689588456272
Maid in Manhattan,2002,PASS,71234857,121659935,121.659935,4.801229734616566
May,2002,PASS,2266564,188500,0.1885,-1.6686572720940716
Men in Black II,2002,FAIL,181325090,246626476,246.626476,5.507874949119599
Minority Report,2002,FAIL,132108280,170995666,170.995666,5.141638211152229
Mr Deeds,2002,FAIL,64758961,163572654,163.572654,5.097257258608021
My Big Fat Greek Wedding,2002,PASS,6475896,312705749,312.705749,5.745262649328372
Panic Room,2002,PASS,62168602,123441416,123.441416,4.81576667914919
Phone Booth,2002,FAIL,14246971,60311590,60.31159,4.099524290902477
Queen of the Damned,2002,PASS,45331273,39254038,39.254038,3.67005431791763
Rabbit-Proof Fence,2002,PASS,9066255,8029593,8.029593,2.083133841742639
Real Women Have Curves,2002,PASS,3885538,7580935,7.580935,2.0256365429706635
Red Dragon,2002,FAIL,101023979,120393928,120.393928,4.790769099709302
Reign of Fire,2002,FAIL,77710753,55772984,55.772984,4.0212895944389855
Resident Evil,2002,PASS,45331273,51962213,51.962213,3.9505167813496467
Scooby-Doo,2002,PASS,108795054,198543415,198.543415,5.291007791577766
Signs,2002,FAIL,91572563,295256424,295.256424,5.687844212673119
Snow Dogs,2002,FAIL,41445735,105104690,105.10469,4.654956901054737
Solaris,2002,FAIL,60873423,19388882,19.388882,2.9646998090053396
Spider-Man,2002,FAIL,180029911,522872106,522.872106,6.259336894963398
Spirit: Stallion of the Cimarron,2002,FAIL,103614337,94826948,94.826948,4.552053630469677
Spun,2002,PASS,5828306,531336,0.531336,-0.6323606894921034
Spy Kids 2: Island of Lost Dreams,2002,PASS,49216810,111186338,111.186338,4.711207514556379
Star Trek: Nemesis,2002,FAIL,77710753,56022212,56.022212,4.025748254950309
Star Wars: Episode II - Attack of the Clones,2002,FAIL,148945610,402382056,402.382056,5.997402025345929
The Adventures of Pluto Nash,2002,FAIL,129517922,5713168,5.713168,1.742773685926448
The Banger Sisters,2002,PASS,12951792,39252065,39.252065,3.670004054309451
The Bourne Identity,2002,FAIL,77710753,157324072,157.324072,5.058307830778089
The Dangerous Lives of Altar Boys,2002,FAIL,15542151,2304492,2.304492,0.8348602617035352
The Good Girl,2002,PASS,10361434,18156206,18.156206,2.899012430641331
The Hours,2002,PASS,32379480,53977881,53.977880999999996,3.988574351539617
The Importance of Being Earnest,2002,PASS,19427688,10851194,10.851194,2.384275120014792
